ID	adj.P.Val	P.Value	t	B	logFC	ORF
narY	0.22053	4.68e-02	-2.34	-4.2582	-9.72e-02	narY
ygaM	0.22053	4.68e-02	-2.34	-4.2592	-1.08e-01	ygaM
ygiW	0.22053	4.69e-02	-2.34	-4.2612	-8.23e-02	ygiW
rpsM	0.22053	4.69e-02	-2.34	-4.2615	-3.96e-02	rpsM
yecT	0.22053	4.70e-02	2.34	-4.2621	1.40e-01	yecT
ydiZ	0.22053	4.70e-02	-2.34	-4.2625	-1.01e-01	ydiZ
ybgO	0.22053	4.70e-02	2.34	-4.2626	8.68e-02	ybgO
aaeR	0.22139	4.72e-02	-2.33	-4.2679	-5.37e-02	aaeR
ybjI	0.22139	4.73e-02	-2.33	-4.2684	-4.38e-02	ybjI
thiQ	0.22195	4.74e-02	2.33	-4.2718	7.72e-02	thiQ
rpsI	0.22285	4.77e-02	2.33	-4.2767	4.77e-02	rpsI
yjfM	0.2232	4.79e-02	2.32	-4.2805	7.00e-02	yjfM
ychN	0.2232	4.79e-02	2.32	-4.2811	3.98e-02	ychN
feoB	0.2232	4.79e-02	2.32	-4.2822	9.32e-02	feoB
ogrK	0.2232	4.80e-02	-2.32	-4.2828	-2.03e-01	ogrK
rumB	0.2232	4.80e-02	2.32	-4.2833	8.46e-02	rumB
yqgC	0.2232	4.80e-02	2.32	-4.2843	5.65e-02	yqgC
ugpC	0.22399	4.83e-02	-2.32	-4.2887	-7.06e-02	ugpC
yhdH	0.2242	4.84e-02	-2.32	-4.2913	-4.15e-02	yhdH
yghW	0.2242	4.84e-02	-2.32	-4.2916	-3.58e-02	yghW
csrA	0.22421	4.85e-02	-2.32	-4.2926	-5.00e-02	csrA
ybcO	0.22477	4.87e-02	2.31	-4.2966	5.28e-02	ybcO
ybiO	0.22477	4.87e-02	-2.31	-4.297	-8.54e-02	ybiO
yidA	0.22494	4.88e-02	-2.31	-4.2987	-3.23e-02	yidA
purF	0.22502	4.90e-02	2.31	-4.303	8.32e-02	purF
dsdX	0.22502	4.90e-02	-2.31	-4.3039	-7.89e-02	dsdX
yidJ	0.22502	4.91e-02	-2.31	-4.3047	-7.29e-02	yidJ
yhjE	0.22502	4.92e-02	-2.31	-4.3062	-5.90e-02	yhjE
yohM	0.22502	4.92e-02	2.31	-4.3067	1.54e-01	yohM
glyW	0.22502	4.92e-02	2.31	-4.3075	6.10e-02	glyW
recC	0.22502	4.93e-02	-2.31	-4.3082	-4.58e-02	recC
ybaY	0.22502	4.93e-02	-2.31	-4.3092	-1.17e-01	ybaY
narJ	0.22502	4.93e-02	2.31	-4.3099	1.28e-01	narJ
yfeN	0.22502	4.93e-02	2.31	-4.31	1.07e-01	yfeN
argZ	0.22502	4.94e-02	2.31	-4.3101	4.47e-02	argZ
yibI	0.22502	4.95e-02	-2.30	-4.312	-6.86e-02	yibI
ruvA	0.22502	4.95e-02	-2.30	-4.3132	-4.12e-02	ruvA
gabT	0.22502	4.95e-02	-2.30	-4.3134	-3.90e-02	gabT
ytfH	0.22502	4.95e-02	-2.30	-4.3139	-4.07e-02	ytfH
ygfQ	0.22548	4.97e-02	2.30	-4.3168	6.70e-02	ygfQ
ycbB	0.22564	4.98e-02	-2.30	-4.3185	-6.06e-02	ycbB
tyrB	0.22595	4.99e-02	-2.30	-4.3208	-6.72e-02	tyrB
ryfA	0.2277	5.03e-02	-2.29	-4.3292	-1.06e-01	ryfA
ydhJ	0.22831	5.05e-02	2.29	-4.3327	7.25e-02	ydhJ
ydcK	0.22837	5.06e-02	-2.29	-4.3344	-9.48e-02	ydcK
panE	0.22837	5.06e-02	-2.29	-4.3349	-5.80e-02	panE
alaW	0.22852	5.07e-02	2.29	-4.3365	7.22e-02	alaW
argU	0.22856	5.08e-02	2.29	-4.3376	8.44e-02	argU
truD	0.22858	5.08e-02	2.29	-4.3387	3.78e-02	truD
citD	0.22884	5.09e-02	-2.28	-4.3407	-9.01e-02	citD
yjgN	0.2289	5.10e-02	2.28	-4.342	1.75e-01	yjgN
holD	0.22901	5.11e-02	2.28	-4.3434	4.25e-02	holD
yddE	0.22997	5.14e-02	-2.28	-4.3484	-4.57e-02	yddE
cfa	0.23021	5.15e-02	-2.28	-4.3509	-6.99e-02	cfa
oppB	0.23021	5.15e-02	2.28	-4.3513	8.69e-02	oppB
yhdU	0.23064	5.17e-02	2.28	-4.3541	1.75e-01	yhdU
leuT	0.23104	5.18e-02	2.27	-4.3574	4.63e-02	leuT
yfbQ	0.23104	5.19e-02	-2.27	-4.3582	-1.07e-01	yfbQ
gpp	0.23104	5.19e-02	-2.27	-4.3589	-4.51e-02	gpp
soxR	0.23104	5.20e-02	2.27	-4.3604	5.61e-02	soxR
narH	0.23104	5.21e-02	2.27	-4.362	1.38e-01	narH
can	0.23104	5.21e-02	-2.27	-4.3629	-8.26e-02	can
purA	0.23104	5.23e-02	-2.27	-4.3652	-4.68e-02	purA
yeiE	0.23104	5.23e-02	-2.27	-4.3652	-7.00e-02	yeiE
ybdK	0.23104	5.23e-02	2.27	-4.3653	7.67e-02	ybdK
cobC	0.23104	5.23e-02	2.27	-4.3659	8.17e-02	cobC
yheT	0.23104	5.24e-02	2.27	-4.3671	4.79e-02	yheT
ydaU	0.23104	5.24e-02	2.27	-4.3672	7.47e-02	ydaU
yjfI	0.23104	5.24e-02	2.27	-4.3681	1.93e-01	yjfI
mdtI	0.23153	5.26e-02	2.26	-4.3711	7.81e-02	mdtI
ybhK	0.23188	5.27e-02	-2.26	-4.3735	-6.08e-02	ybhK
ymdC	0.23213	5.28e-02	-2.26	-4.3755	-4.41e-02	ymdC
ygfZ	0.23313	5.31e-02	-2.26	-4.3811	-3.66e-02	ygfZ
hypC	0.23313	5.32e-02	-2.26	-4.3815	-5.75e-02	hypC
lexA	0.23334	5.33e-02	-2.26	-4.3836	-3.65e-02	lexA
btuC	0.23334	5.34e-02	2.26	-4.3859	3.31e-02	btuC
ybeX	0.23334	5.35e-02	2.25	-4.3868	4.90e-02	ybeX
yajO	0.23334	5.35e-02	-2.25	-4.3879	-9.53e-02	yajO
nudF	0.23334	5.35e-02	-2.25	-4.3885	-4.96e-02	nudF
malM	0.23334	5.35e-02	2.25	-4.3885	3.83e-01	malM
eutP	0.23334	5.36e-02	-2.25	-4.3889	-4.68e-02	eutP
entC	0.23393	5.38e-02	2.25	-4.393	1.20e-01	entC
ycaM	0.23393	5.39e-02	2.25	-4.3939	8.47e-02	ycaM
ybgJ	0.23393	5.39e-02	-2.25	-4.395	-4.99e-02	ybgJ
yegH	0.23393	5.39e-02	2.25	-4.3954	4.16e-02	yegH
ybeD	0.23393	5.40e-02	-2.25	-4.3962	-6.60e-02	ybeD
ycbY	0.23393	5.40e-02	2.25	-4.3972	4.64e-02	ycbY
ycfX	0.23393	5.41e-02	-2.25	-4.3986	-4.23e-02	ycfX
metU	0.23393	5.41e-02	2.25	-4.3988	9.41e-02	metU
clpP	0.23532	5.45e-02	-2.24	-4.4054	-5.95e-02	clpP
phnH	0.23568	5.46e-02	2.24	-4.4078	1.22e-01	phnH
truB	0.2358	5.47e-02	-2.24	-4.4092	-7.86e-02	truB
ydfQ	0.23582	5.48e-02	2.24	-4.4102	1.71e-01	ydfQ
cof	0.23593	5.49e-02	-2.24	-4.4127	-5.08e-02	cof
yjjZ	0.23593	5.49e-02	-2.24	-4.4129	-5.50e-02	yjjZ
prpB	0.23593	5.50e-02	-2.24	-4.4134	-8.52e-02	prpB
yhbS	0.23616	5.51e-02	-2.23	-4.4163	-5.31e-02	yhbS
yhhX	0.23616	5.51e-02	-2.23	-4.4163	-5.54e-02	yhhX
rluC	0.23616	5.52e-02	2.23	-4.4171	7.16e-02	rluC
rpiA	0.23696	5.54e-02	-2.23	-4.4212	-3.96e-02	rpiA
hofB	0.23711	5.55e-02	-2.23	-4.4228	-8.51e-02	hofB
yehU	0.23723	5.56e-02	2.23	-4.4241	1.47e-01	yehU
yecN	0.23736	5.58e-02	2.23	-4.4281	3.61e-02	yecN
ydcS	0.23736	5.59e-02	2.23	-4.4289	1.13e-01	ydcS
yrbK	0.23736	5.59e-02	2.23	-4.4295	3.43e-02	yrbK
icd	0.23736	5.59e-02	-2.23	-4.4297	-7.54e-02	icd
fucA	0.23736	5.59e-02	2.23	-4.4301	9.31e-02	fucA
ilvN	0.23736	5.59e-02	2.23	-4.4302	1.51e-01	ilvN
ynfP	0.23769	5.61e-02	2.22	-4.4324	2.77e-01	ynfP
ycbF	0.23809	5.62e-02	-2.22	-4.4349	-3.88e-02	ycbF
cysK	0.23859	5.64e-02	-2.22	-4.4378	-4.45e-02	cysK
ryhB	0.2399	5.68e-02	-2.22	-4.4445	-8.74e-02	ryhB
ytfE	0.2399	5.68e-02	-2.22	-4.4458	-8.72e-02	ytfE
ftsY	0.2399	5.69e-02	-2.22	-4.446	-4.33e-02	ftsY
hofQ	0.2399	5.69e-02	-2.21	-4.4474	-4.48e-02	hofQ
glyY	0.2399	5.71e-02	2.21	-4.4495	7.38e-02	glyY
rbsC	0.2399	5.71e-02	2.21	-4.4498	1.39e-01	rbsC
rplR	0.2399	5.71e-02	2.21	-4.4505	3.79e-02	rplR
rpmH	0.2399	5.71e-02	2.21	-4.4508	5.85e-02	rpmH
atpI	0.2399	5.72e-02	2.21	-4.4512	5.76e-02	atpI
hha	0.24092	5.75e-02	2.21	-4.4561	8.79e-02	hha
mltA	0.24137	5.76e-02	2.21	-4.4588	5.48e-02	mltA
rihA	0.24255	5.80e-02	2.20	-4.4646	1.65e-01	rihA
wzxE	0.24255	5.80e-02	-2.20	-4.4652	-5.28e-02	wzxE
pinQ	0.24295	5.82e-02	-2.20	-4.4677	-6.60e-02	pinQ
uidC	0.24354	5.84e-02	2.20	-4.4709	1.41e-01	uidC
lsrC	0.24414	5.86e-02	2.20	-4.4742	1.01e-01	lsrC
yhjY	0.24617	5.91e-02	-2.19	-4.4829	-7.16e-02	yhjY
yfjB	0.24624	5.92e-02	-2.19	-4.4841	-3.02e-02	yfjB
mdaB	0.24691	5.95e-02	2.19	-4.4892	3.87e-02	mdaB
intQ	0.24691	5.95e-02	-2.19	-4.4895	-1.27e-01	intQ
ligB	0.24691	5.96e-02	-2.19	-4.4902	-5.83e-02	ligB
fdx	0.24691	5.96e-02	-2.19	-4.4902	-4.48e-02	fdx
yadC	0.24781	5.98e-02	2.18	-4.4946	1.21e-01	yadC
yoeE	0.24848	6.01e-02	2.18	-4.4991	4.57e-02	yoeE
ascG	0.24848	6.01e-02	2.18	-4.4995	3.22e-02	ascG
ymjA	0.24848	6.02e-02	-2.18	-4.4999	-3.33e-02	ymjA
glpD	0.24848	6.02e-02	-2.18	-4.5012	-3.39e-02	glpD
oppF	0.24848	6.03e-02	2.18	-4.5016	9.01e-02	oppF
valX	0.24926	6.06e-02	2.17	-4.5068	6.95e-02	valX
hepA	0.24926	6.07e-02	2.17	-4.5078	6.88e-02	hepA
fliQ	0.24926	6.08e-02	2.17	-4.5106	3.90e-02	fliQ
nusG	0.24926	6.09e-02	2.17	-4.5115	3.96e-02	nusG
rplB	0.24926	6.09e-02	-2.17	-4.5116	-5.62e-02	rplB
ygjK	0.24926	6.09e-02	-2.17	-4.5116	-5.31e-02	ygjK
ydjE	0.24926	6.09e-02	2.17	-4.5116	1.09e-01	ydjE
ydeM	0.24926	6.10e-02	2.17	-4.5124	1.35e-01	ydeM
sbmC	0.24926	6.10e-02	-2.17	-4.5124	-6.34e-02	sbmC
yncK	0.2494	6.11e-02	-2.17	-4.514	-7.01e-02	yncK
rpmG	0.2494	6.11e-02	-2.17	-4.5147	-7.62e-02	rpmG
rspA	0.25015	6.13e-02	2.17	-4.5185	2.50e-01	rspA
yfcF	0.2504	6.15e-02	-2.17	-4.5203	-4.61e-02	yfcF
ygcH	0.25201	6.19e-02	2.16	-4.5272	3.37e-02	ygcH
pgi	0.25239	6.21e-02	-2.16	-4.5295	-4.74e-02	pgi
arcB	0.25259	6.22e-02	-2.16	-4.5311	-5.86e-02	arcB
sgcA	0.25375	6.25e-02	-2.15	-4.5363	-1.68e-01	sgcA
abgA	0.25406	6.26e-02	-2.15	-4.5384	-9.81e-02	abgA
yccE	0.25413	6.27e-02	2.15	-4.5395	9.73e-02	yccE
valT	0.25503	6.30e-02	2.15	-4.5437	6.37e-02	valT
lamB	0.25503	6.31e-02	2.15	-4.545	4.45e-01	lamB
ampH	0.25503	6.31e-02	-2.15	-4.5455	-6.35e-02	ampH
yahE	0.25569	6.34e-02	-2.15	-4.5501	-8.89e-02	yahE
yhaC	0.25569	6.35e-02	2.15	-4.551	1.69e-01	yhaC
yfiH	0.25569	6.35e-02	2.14	-4.5517	4.62e-02	yfiH
obgE	0.25569	6.35e-02	-2.14	-4.5518	-5.43e-02	obgE
kduI	0.25569	6.36e-02	2.14	-4.5522	7.75e-02	kduI
mrp	0.25569	6.37e-02	-2.14	-4.5539	-3.84e-02	mrp
malG	0.25569	6.37e-02	2.14	-4.5543	2.64e-01	malG
yfdC	0.25569	6.37e-02	-2.14	-4.5548	-6.68e-02	yfdC
nudH	0.25618	6.39e-02	-2.14	-4.5574	-5.37e-02	nudH
ykfJ	0.25667	6.41e-02	2.14	-4.5609	1.18e-01	ykfJ
livG	0.25667	6.42e-02	2.14	-4.5612	8.01e-02	livG
serA	0.25667	6.42e-02	-2.14	-4.5623	-6.34e-02	serA
fadE	0.25667	6.43e-02	-2.14	-4.5627	-1.04e-01	fadE
ynjI	0.25792	6.46e-02	2.13	-4.5681	4.53e-02	ynjI
ynfB	0.25804	6.47e-02	2.13	-4.5695	4.42e-02	ynfB
mdoD	0.25804	6.48e-02	2.13	-4.5702	5.48e-02	mdoD
sfsA	0.25866	6.50e-02	2.13	-4.5736	5.65e-02	sfsA
aroA	0.25866	6.51e-02	-2.13	-4.5742	-4.35e-02	aroA
fxsA	0.25881	6.52e-02	2.13	-4.5767	8.67e-02	fxsA
leuP	0.25881	6.53e-02	2.13	-4.5772	4.53e-02	leuP
hypB	0.25881	6.53e-02	-2.13	-4.5773	-5.98e-02	hypB
yjhX	0.25904	6.54e-02	-2.13	-4.579	-1.51e-01	yjhX
yjaG	0.2592	6.55e-02	-2.13	-4.5804	-5.01e-02	yjaG
ppk	0.25946	6.56e-02	-2.12	-4.5828	-2.89e-02	ppk
glyX	0.25946	6.57e-02	2.12	-4.583	7.21e-02	glyX
yajG	0.25963	6.58e-02	2.12	-4.5845	4.74e-02	yajG
serS	0.2605	6.60e-02	-2.12	-4.5886	-4.35e-02	serS
cusS	0.2605	6.61e-02	2.12	-4.5894	6.73e-02	cusS
bdm	0.26068	6.62e-02	-2.12	-4.5908	-2.77e-01	bdm
deoR	0.26092	6.64e-02	2.12	-4.5933	3.63e-02	deoR
uhpT	0.26092	6.64e-02	-2.12	-4.5937	-4.62e-02	uhpT
elaB	0.26092	6.64e-02	-2.12	-4.5942	-1.04e-01	elaB
gntY	0.26092	6.65e-02	2.12	-4.595	5.00e-02	gntY
yeaO	0.26095	6.66e-02	-2.11	-4.596	-5.24e-02	yeaO
yfcJ	0.26161	6.69e-02	2.11	-4.6007	5.14e-02	yfcJ
hipA	0.26161	6.69e-02	-2.11	-4.6009	-3.13e-02	hipA
astB	0.26161	6.69e-02	-2.11	-4.6014	-7.59e-02	astB
yehT	0.26161	6.70e-02	2.11	-4.6023	1.01e-01	yehT
cpdA	0.26161	6.70e-02	2.11	-4.6025	3.10e-02	cpdA
secE	0.26176	6.71e-02	2.11	-4.6039	3.91e-02	secE
malT	0.26185	6.72e-02	2.11	-4.6056	2.11e-01	malT
trkH	0.26185	6.73e-02	2.11	-4.606	3.06e-02	trkH
yhfZ	0.26185	6.73e-02	2.11	-4.6069	6.86e-02	yhfZ
yjiV	0.26185	6.74e-02	-2.11	-4.6075	-1.26e-01	yjiV
recQ	0.26209	6.75e-02	2.11	-4.6092	6.47e-02	recQ
metT	0.2625	6.77e-02	2.10	-4.6115	9.39e-02	metT
gmhB	0.26264	6.78e-02	-2.10	-4.6128	-3.75e-02	gmhB
eda	0.26268	6.78e-02	-2.10	-4.6138	-5.00e-02	eda
yrfA	0.26295	6.80e-02	-2.10	-4.6163	-7.74e-02	yrfA
pepD	0.26295	6.80e-02	-2.10	-4.6168	-4.95e-02	pepD
gpt	0.26295	6.81e-02	2.10	-4.6172	7.37e-02	gpt
phnJ	0.26297	6.81e-02	-2.10	-4.6181	-8.90e-02	phnJ
yebV	0.263	6.82e-02	-2.10	-4.619	-1.22e-01	yebV
serX	0.26315	6.83e-02	2.10	-4.6204	1.03e-01	serX
glnB	0.26373	6.85e-02	-2.10	-4.6234	-3.19e-02	glnB
yjbF	0.26373	6.86e-02	-2.10	-4.6245	-1.84e-01	yjbF
yjfC	0.26373	6.86e-02	2.10	-4.6249	7.14e-02	yjfC
yeaN	0.26377	6.87e-02	2.09	-4.6262	9.14e-02	yeaN
ubiB	0.26377	6.88e-02	2.09	-4.6268	5.58e-02	ubiB
yfdQ	0.26377	6.88e-02	-2.09	-4.6275	-6.29e-02	yfdQ
cydC	0.264	6.89e-02	2.09	-4.6291	4.95e-02	cydC
ydcU	0.26439	6.92e-02	2.09	-4.6321	8.07e-02	ydcU
ygcM	0.26439	6.92e-02	2.09	-4.6324	8.61e-02	ygcM
ykgJ	0.26439	6.92e-02	2.09	-4.6331	3.90e-02	ykgJ
malK	0.26439	6.94e-02	2.09	-4.6353	4.76e-01	malK
rfbA	0.26439	6.94e-02	2.09	-4.6358	9.05e-02	rfbA
ydiP	0.26439	6.94e-02	-2.09	-4.6361	-4.00e-02	ydiP
insC-5	0.26439	6.95e-02	-2.09	-4.6362	-1.44e-01	insC-5
ydiM	0.26564	6.98e-02	2.08	-4.6415	9.84e-02	ydiM
bcsF	0.26607	7.00e-02	-2.08	-4.6438	-5.38e-02	bcsF
yehZ	0.26699	7.04e-02	-2.08	-4.6488	-4.34e-02	yehZ
ybaJ	0.26699	7.04e-02	-2.08	-4.6494	-8.18e-02	ybaJ
yiaJ	0.26699	7.04e-02	2.08	-4.6494	3.21e-02	yiaJ
purM	0.26715	7.05e-02	2.08	-4.6509	5.46e-02	purM
yfcN	0.26715	7.06e-02	-2.08	-4.6516	-3.50e-02	yfcN
leuW	0.26736	7.07e-02	2.08	-4.6532	9.62e-02	leuW
yjbG	0.26844	7.11e-02	-2.07	-4.6578	-1.87e-01	yjbG
yafC	0.26884	7.12e-02	-2.07	-4.6599	-4.99e-02	yafC
yihU	0.26918	7.14e-02	2.07	-4.662	1.06e-01	yihU
ykiA	0.26941	7.15e-02	-2.07	-4.6636	-5.46e-02	ykiA
acpP	0.26961	7.17e-02	2.07	-4.6658	3.60e-02	acpP
yhdW	0.26961	7.17e-02	2.07	-4.6665	1.92e-01	yhdW
mdtL	0.26961	7.17e-02	2.07	-4.6668	4.27e-02	mdtL
yjhQ	0.26961	7.18e-02	-2.07	-4.6674	-1.12e-01	yjhQ
kdtA	0.26992	7.19e-02	2.07	-4.6693	6.66e-02	kdtA
ypfH	0.27017	7.21e-02	-2.06	-4.6714	-3.30e-02	ypfH
sapF	0.27017	7.22e-02	2.06	-4.6722	5.24e-02	sapF
htgA	0.27017	7.22e-02	2.06	-4.6726	1.04e-01	htgA
folD	0.27022	7.23e-02	-2.06	-4.6739	-4.11e-02	folD
yliL	0.27022	7.24e-02	-2.06	-4.6757	-4.37e-02	yliL
yegD	0.27022	7.25e-02	2.06	-4.6762	5.51e-02	yegD
yfjI	0.27022	7.25e-02	2.06	-4.6768	3.08e-02	yfjI
bfd	0.27022	7.25e-02	-2.06	-4.6772	-1.40e-01	bfd
fecR	0.27022	7.26e-02	-2.06	-4.6774	-3.33e-02	fecR
ppc	0.27092	7.28e-02	-2.06	-4.6807	-5.08e-02	ppc
ypfI	0.27114	7.29e-02	2.06	-4.6822	5.41e-02	ypfI
insA-3	0.27115	7.30e-02	-2.06	-4.683	-6.56e-02	insA-3
ykfF	0.27123	7.31e-02	-2.06	-4.6845	-9.88e-02	ykfF
cdh	0.27123	7.31e-02	2.05	-4.6849	3.64e-02	cdh
fiu	0.2721	7.35e-02	-2.05	-4.6892	-6.96e-02	fiu
serW	0.2721	7.35e-02	2.05	-4.6897	1.07e-01	serW
gor	0.2721	7.36e-02	-2.05	-4.6908	-3.78e-02	gor
pssA	0.2721	7.37e-02	2.05	-4.692	3.06e-02	pssA
rnc	0.2721	7.37e-02	2.05	-4.6927	5.16e-02	rnc
hslU	0.2721	7.38e-02	2.05	-4.6934	3.29e-02	hslU
glnK	0.2721	7.38e-02	2.05	-4.694	3.57e-01	glnK
clpA	0.2721	7.39e-02	-2.05	-4.6941	-6.28e-02	clpA
yjfZ	0.2735	7.43e-02	2.04	-4.6997	5.85e-02	yjfZ
yeeD	0.27413	7.46e-02	-2.04	-4.7033	-8.68e-02	yeeD
ycjF	0.27413	7.46e-02	2.04	-4.7035	5.93e-02	ycjF
ydcW	0.27535	7.50e-02	2.04	-4.7084	8.06e-02	ydcW
grpE	0.27539	7.51e-02	2.04	-4.7098	3.35e-02	grpE
yaeI	0.27539	7.51e-02	-2.04	-4.7101	-5.03e-02	yaeI
galU	0.27555	7.53e-02	2.04	-4.7121	2.58e-02	galU
uidR	0.27555	7.53e-02	-2.04	-4.7125	-4.85e-02	uidR
mdtA	0.27555	7.54e-02	2.04	-4.7138	5.00e-02	mdtA
yfbL	0.27555	7.55e-02	-2.03	-4.715	-1.42e-01	yfbL
pnp	0.27555	7.55e-02	-2.03	-4.7154	-4.06e-02	pnp
setB	0.27555	7.55e-02	-2.03	-4.7154	-8.37e-02	setB
trxC	0.27555	7.56e-02	2.03	-4.7162	8.61e-02	trxC
ymcE	0.27555	7.57e-02	-2.03	-4.7172	-1.62e-01	ymcE
ybbO	0.27555	7.58e-02	-2.03	-4.7182	-3.95e-02	ybbO
phnC	0.27555	7.58e-02	-2.03	-4.7189	-1.13e-01	phnC
osmB	0.27555	7.58e-02	-2.03	-4.7191	-1.42e-01	osmB
rffE	0.27679	7.62e-02	2.03	-4.7241	5.07e-02	rffE
ybgT	0.27706	7.65e-02	2.03	-4.7269	4.93e-02	ybgT
cspH	0.27706	7.65e-02	2.03	-4.7273	7.15e-02	cspH
ymcD	0.27706	7.65e-02	-2.03	-4.7274	-1.86e-01	ymcD
setC	0.27706	7.66e-02	2.03	-4.728	1.36e-01	setC
brnQ	0.27706	7.66e-02	-2.03	-4.7288	-7.99e-02	brnQ
tdcE	0.27754	7.68e-02	2.02	-4.7312	8.56e-02	tdcE
cbpA	0.27754	7.69e-02	-2.02	-4.7319	-8.13e-02	cbpA
ybaT	0.27811	7.71e-02	-2.02	-4.7348	-9.82e-02	ybaT
ychG_1	0.27811	7.72e-02	-2.02	-4.7354	-6.33e-02	ychG_1
yfdF	0.27848	7.73e-02	2.02	-4.7374	8.04e-02	yfdF
ybjO	0.27946	7.78e-02	2.02	-4.7433	3.96e-02	ybjO
ytfT	0.27946	7.79e-02	-2.01	-4.7441	-8.89e-02	ytfT
sdhC	0.27946	7.79e-02	2.01	-4.7446	1.22e-01	sdhC
yjbE	0.27946	7.79e-02	-2.01	-4.7447	-3.56e-01	yjbE
rffH	0.27946	7.81e-02	-2.01	-4.7469	-5.11e-02	rffH
yoeB	0.27946	7.81e-02	-2.01	-4.7472	-3.38e-02	yoeB
fliK	0.27946	7.81e-02	-2.01	-4.7472	-1.30e-01	fliK
amiA	0.27946	7.82e-02	2.01	-4.7473	5.31e-02	amiA
yjbH	0.27946	7.82e-02	-2.01	-4.7474	-1.04e-01	yjbH
appA	0.27967	7.83e-02	-2.01	-4.7492	-4.27e-02	appA
yggG	0.27967	7.84e-02	-2.01	-4.7497	-3.54e-02	yggG
baeS	0.27984	7.85e-02	-2.01	-4.751	-5.92e-02	baeS
yjjU	0.28012	7.87e-02	-2.01	-4.7541	-8.50e-02	yjjU
dcuC	0.28012	7.88e-02	-2.01	-4.7545	-5.52e-02	dcuC
caiB	0.28012	7.88e-02	2.01	-4.7549	4.79e-02	caiB
pepP	0.28012	7.88e-02	-2.01	-4.7552	-2.80e-02	pepP
caiD	0.28012	7.89e-02	2.01	-4.7557	6.84e-02	caiD
ygjI	0.28012	7.89e-02	2.01	-4.7564	1.09e-01	ygjI
entE	0.2803	7.90e-02	2.01	-4.7577	8.41e-02	entE
caiE	0.28078	7.93e-02	2.00	-4.7604	4.78e-02	caiE
ydjA	0.28078	7.93e-02	-2.00	-4.7608	-4.04e-02	ydjA
surE	0.2811	7.94e-02	2.00	-4.7626	3.08e-02	surE
ycfT	0.28121	7.95e-02	-2.00	-4.7637	-7.27e-02	ycfT
ymfC	0.28146	7.97e-02	2.00	-4.7655	5.47e-02	ymfC
aldB	0.28146	7.98e-02	2.00	-4.7665	8.02e-02	aldB
rpsT	0.28146	7.98e-02	-2.00	-4.7668	-4.11e-02	rpsT
ybiR	0.2817	7.99e-02	2.00	-4.7683	5.01e-02	ybiR
dnaC	0.28223	8.02e-02	2.00	-4.7716	3.30e-02	dnaC
purE	0.28223	8.02e-02	2.00	-4.7718	5.39e-02	purE
amtB	0.28223	8.03e-02	2.00	-4.7725	2.80e-01	amtB
yahD	0.28223	8.04e-02	-1.99	-4.7735	-8.32e-02	yahD
yagN	0.28223	8.04e-02	1.99	-4.7738	5.10e-02	yagN
oppD	0.28251	8.05e-02	1.99	-4.7755	1.07e-01	oppD
ybdA	0.28255	8.06e-02	1.99	-4.7763	8.98e-02	ybdA
mpl	0.28277	8.07e-02	-1.99	-4.7778	-4.22e-02	mpl
tufA	0.28314	8.09e-02	1.99	-4.7797	2.87e-02	tufA
fhuD	0.28323	8.10e-02	-1.99	-4.7807	-1.19e-01	fhuD
pldB	0.28412	8.13e-02	1.99	-4.7844	4.74e-02	pldB
yigA	0.2843	8.14e-02	-1.99	-4.7858	-4.42e-02	yigA
yfaL	0.28579	8.19e-02	-1.98	-4.7917	-5.81e-02	yfaL
mrdA	0.28579	8.20e-02	1.98	-4.7921	7.63e-02	mrdA
yedQ	0.28595	8.21e-02	-1.98	-4.7933	-3.21e-02	yedQ
bcsE	0.28614	8.22e-02	-1.98	-4.7947	-3.56e-02	bcsE
fecI	0.28636	8.23e-02	1.98	-4.7962	4.50e-02	fecI
helD	0.28709	8.26e-02	-1.98	-4.7993	-3.76e-02	helD
ycaR	0.2873	8.27e-02	-1.98	-4.8007	-3.14e-02	ycaR
mutM	0.28759	8.29e-02	1.97	-4.8023	6.46e-02	mutM
valZ	0.28771	8.30e-02	1.97	-4.8034	6.18e-02	valZ
yhbJ	0.28805	8.31e-02	1.97	-4.8053	3.30e-02	yhbJ
yegT	0.28837	8.33e-02	1.97	-4.8072	3.96e-02	yegT
dnaQ	0.28837	8.34e-02	-1.97	-4.8077	-3.73e-02	dnaQ
yegK	0.28861	8.36e-02	-1.97	-4.8105	-7.49e-02	yegK
dksA	0.28861	8.36e-02	1.97	-4.8108	4.51e-02	dksA
yfbU	0.28861	8.37e-02	-1.97	-4.8111	-3.08e-02	yfbU
gudP	0.28861	8.37e-02	1.97	-4.8114	1.62e-01	gudP
fdoI	0.2888	8.39e-02	-1.97	-4.8133	-8.09e-02	fdoI
acrA	0.2888	8.39e-02	-1.97	-4.8135	-2.85e-02	acrA
rhsC	0.28905	8.40e-02	1.97	-4.815	3.07e-02	rhsC
ugpQ	0.28905	8.41e-02	-1.97	-4.8157	-4.46e-02	ugpQ
ybcS	0.28965	8.43e-02	-1.96	-4.8184	-8.11e-02	ybcS
ecnB	0.29006	8.45e-02	-1.96	-4.8204	-9.44e-02	ecnB
ygdK	0.29017	8.47e-02	-1.96	-4.822	-3.85e-02	ygdK
yeeI	0.29017	8.47e-02	1.96	-4.8222	8.51e-02	yeeI
glf	0.29062	8.49e-02	1.96	-4.8243	2.63e-02	glf
