ID	logFC	Gene.symbol
221197_s_at	-0.32691077	CHAT
220454_s_at	0.3173205	SEMA6A
1560694_at	-0.27204069	SFT2D1
208567_s_at	0.35875158	LOC100996843///KCNJ18///KCNJ12
212898_at	-0.2824759	TTI1
201365_at	0.26403855	OAZ2
206587_at	-0.50796195	CCT6B
229519_at	0.33936139	FXR1
225765_at	-0.45876926	TNPO1
244535_at	0.73719498	
1554141_s_at	-0.42141721	WDR78
236034_at	0.50870759	ANGPT2
1562603_at	-0.2828589	RAD51L3-RFFL///RFFL
231194_at	-0.26648991	SNX32
220233_at	0.49099609	FBXO17
206625_at	0.34640715	PRPH2
240602_at	0.43384636	HBS1L
230261_at	0.55672233	ST8SIA4
210384_at	0.59246646	PRMT2
1566477_at	-0.25008913	
214871_x_at	-0.37100542	LOC100287590
240344_x_at	0.38718864	LYRM7
1563482_at	0.36296312	
218265_at	0.489071	SECISBP2
1555952_at	-0.28754098	SLC19A1
200708_at	-0.46064957	GOT2
228282_at	0.43934344	MFSD8
208840_s_at	-0.54177768	G3BP2
210581_x_at	-0.39220368	PATZ1
224986_s_at	0.28414566	LOC101060747///PDPK1
222389_s_at	0.30374311	WAC
243712_at	-0.3345279	XIST
1553685_s_at	-0.51929494	SP1
233992_x_at	-0.24571646	ZNF445
229856_s_at	-0.31083118	PITHD1
1567222_x_at	-0.32312869	ELOVL5
218879_s_at	-0.31180642	MTHFSD
221286_s_at	0.72308021	MZB1
208820_at	0.32848684	PTK2
204212_at	-0.25145149	ACOT8
1554794_a_at	-0.43125146	UBE3C
213241_at	1.33068035	PLXNC1
207687_at	-0.3366919	INHBC
221792_at	0.28348288	RAB6B
220833_at	-0.29006941	
1555349_a_at	0.72184696	ITGB2
230779_at	0.52588377	TNRC6B
203895_at	-0.81316931	PLCB4
204372_s_at	-0.24141377	KHSRP
222546_s_at	-0.22706358	EPS8L2
224162_s_at	0.30243651	FBXO31
239487_at	1.03066086	
214585_s_at	-0.24304444	VPS52
209674_at	-0.30560604	CRY1
1558769_s_at	-0.31699338	DNAH1
228093_at	-0.31541711	ZNF599
1563839_at	-0.29990816	TBC1D7
219488_at	-0.37535897	A4GALT
227657_at	-0.50837952	RNF150
1564424_at	1.12302147	
221878_at	0.42673533	C2orf68
228736_at	0.36982309	HELQ
212815_at	-0.57183138	ASCC3
236319_at	0.40917866	
224338_s_at	-0.32926828	RNF26
203445_s_at	0.39863637	CTDSP2
1559128_at	0.74782838	HSDL2
204718_at	-0.33916192	EPHB6
220027_s_at	0.45047836	RASIP1
231028_at	0.38271659	LOC100506082
227039_at	0.52444795	AKAP13
216222_s_at	0.32822061	MYO10
222433_at	0.5902642	ENAH
208759_at	-0.24564432	NCSTN
220012_at	0.46305448	ERO1B
230131_x_at	-0.34873927	ARSD
207559_s_at	0.38456522	ZMYM3
1554101_a_at	-0.56947698	TMTC4
1569320_at	-0.31699993	GPBP1L1
236972_at	0.33596176	TRIM63
221637_s_at	-0.5373973	C11orf98///LBHD1
202628_s_at	1.72037856	SERPINE1
230673_at	-1.91479632	PKHD1L1
219480_at	-0.36125461	SNAI1
218052_s_at	-0.31097307	ATP13A1
236442_at	0.51417418	DPF3
224833_at	0.48133844	ETS1
204167_at	0.3238374	BTD
212912_at	0.47325373	RPS6KA2
218076_s_at	-0.33968466	ARHGAP17
1570198_x_at	0.26721797	
227308_x_at	0.38354841	LTBP3
1552576_at	0.36341407	ALMS1P1
228859_at	-0.4903796	ZGRF1
232304_at	-0.7305607	PELI1
206715_at	0.72489399	TFEC
206251_s_at	-0.33063666	AVPR1A
222775_s_at	-0.31931028	MRPL35
204204_at	0.50854626	SLC31A2
1561364_at	0.30047928	
202040_s_at	0.33998475	KDM5A
222436_s_at	-0.26148966	RNF103-CHMP3///CHMP3///RNF103
236947_at	0.63811178	
229698_at	0.34190365	SHANK3
209682_at	0.52684027	CBLB
213602_s_at	-0.32909898	
223888_s_at	0.42147388	LARS
214005_at	-0.61823799	GGCX
205652_s_at	-0.24334355	TTLL1
206605_at	0.31035557	ENDOU
200727_s_at	-0.41725235	ACTR2
1557506_a_at	0.31890375	
218571_s_at	-0.23171641	CHMP4A///TM9SF1
240456_at	1.19882006	LOC101928419
202382_s_at	0.26725692	GNPDA1
212994_at	0.32924438	THOC2
204416_x_at	1.46016772	APOC1
235054_at	0.40566005	NUDT16
232117_at	0.51010006	ZNF471
1559174_at	0.38953876	RAB6A
210410_s_at	-0.43795909	MSH5-SAPCD1///SAPCD1///MSH5
1556354_s_at	-0.3617604	RGL3
202113_s_at	0.29888568	SNX2
1553703_at	0.38932588	ZNF791
212154_at	-0.45032165	SDC2
208827_at	-0.47949913	PSMB6
227230_s_at	-0.51188856	KIAA1211
1557820_at	-0.30266347	AFG3L2
214147_at	0.39417992	MROH7
40472_at	0.29056165	LPCAT4
219102_at	0.28176296	RCN3
203625_x_at	-0.51651634	SKP2
217618_x_at	-0.30439696	HUS1
223328_at	-0.33519568	ARMC10
204217_s_at	-0.308784	RTN2
202852_s_at	-0.45955056	AAGAB
203858_s_at	-0.29891068	COX10
1557688_at	-0.7556992	
220214_at	-0.35666084	ZNF215
230688_at	0.59455765	
213860_x_at	-0.27994731	CSNK1A1
213998_s_at	0.51049149	DDX17
228359_at	-0.43836148	UBASH3B
210434_x_at	-0.2660083	JTB
222171_s_at	0.51456602	PKNOX2
238676_at	-0.24917751	
238079_at	-0.65728729	TPM3
207623_at	0.34170699	ABCF2
244508_at	0.66139223	SEPT7
211389_x_at	-0.32651469	KIR3DS1
213877_x_at	-0.306943	TCEB2
233370_at	0.36734906	
211356_x_at	0.56799095	LEPROT///LEPR
203988_s_at	0.36491906	FUT8
236343_at	0.32882753	
208900_s_at	0.53968949	TOP1
221556_at	0.4339294	CDC14B
222271_at	-0.93922839	
241834_at	0.48357055	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
219571_s_at	0.29069723	ZNF12
223656_s_at	-0.31808974	TMEM234
1561973_at	-0.36647423	SMARCC2
1553749_at	-0.48650517	FAM76B
224512_s_at	-0.40993889	NAA38
206722_s_at	-0.28292715	LPAR2
204907_s_at	-0.29784277	MIR8085///BCL3
219825_at	0.42273825	CYP26B1
242098_at	-0.38373832	ARFGEF3
216125_s_at	0.30251039	RANBP9
203859_s_at	0.37411821	PALM
204277_s_at	0.28317377	TK2
226664_at	-0.27814054	TBC1D20
203711_s_at	-0.59434564	HIBCH
1561786_at	-0.30035112	
223233_s_at	-0.45321623	CGN
241786_at	0.49409002	
215105_at	0.30029586	N4BP2L2-IT2
233333_x_at	0.31878685	AVIL
232024_at	0.49593866	GIMAP2
223059_s_at	-0.57196353	FAM107B
218282_at	-0.36306619	EDEM2
224160_s_at	-0.23927874	ACAD9
48659_at	0.28433891	MIIP
209318_x_at	0.80539399	PLAGL1
235676_at	-0.34615198	SEC11C
229139_at	-0.40691951	JPH1
210944_s_at	0.53742045	CAPN3
213701_at	0.33257552	C12orf29
224783_at	-0.41997012	UBALD2
222167_at	0.36634906	
218402_s_at	0.30586306	HPS4
235424_at	0.37886755	FAM122A
209488_s_at	0.36767712	RBPMS
224129_s_at	-0.25132975	DPY30
232296_s_at	-0.41092372	GFM1
222914_s_at	-0.34453029	TMEM121
240304_s_at	-1.19278148	TMC5
204946_s_at	-0.2607875	TOP3A
210761_s_at	-0.63202692	GRB7
1560779_a_at	0.34006046	ZNF568
1559571_a_at	-0.24898835	ATP13A4
1558017_s_at	0.56892639	PAWR
208756_at	-0.39666707	EIF3I
231762_at	-0.61914305	FGF10
229581_at	-0.35277433	ELFN1
1565706_at	-0.52998011	
211118_x_at	0.34063688	ESR2
210447_at	-0.38923374	GLUD2
209391_at	-0.42281442	DPM2
225025_at	-0.31748767	IGSF8
1561683_at	-0.30671427	
235989_at	-0.37318258	
224831_at	0.91260261	CPEB4
239314_at	-0.37232437	NHLRC3
1562695_at	-0.28792532	FOXN4
208593_x_at	-0.30063032	CRHR1
209966_x_at	-0.50508671	ESRRG
212608_s_at	0.35799006	NUDT3
AFFX-r2-Bs-thr-M_s_at	0.61843004	
214023_x_at	-1.16472523	TUBB2B
223382_s_at	-0.27557677	ZNRF1
1487_at	-0.40556653	ESRRA
1559125_at	0.50886003	
242424_at	-0.38318381	
232964_at	0.46544282	SPDYE2B///SPDYE6///SPDYE5///SPDYE2///SPDYE1
223367_at	-0.34431345	DNAJC30
202455_at	0.41513288	HDAC5
202998_s_at	-0.57486384	LOXL2
206967_at	0.34732812	CCNT1
233557_s_at	-0.25265757	MON1B
203320_at	0.48140876	SH2B3
241938_at	0.61884063	QKI
213704_at	0.34177352	SNORD45C///SNORD45A///SNORD45B///RABGGTB
201317_s_at	-0.50074936	PSMA2
200045_at	-0.24042475	ABCF1
1560180_at	-0.30015876	
210260_s_at	0.69007864	TNFAIP8
238780_s_at	0.61168911	KCNJ5
209126_x_at	-0.25582488	KRT6B
220825_s_at	0.45283078	KIRREL
240159_at	-1.13668509	SLC15A2
223366_at	-0.82429206	ZNF704
202475_at	-0.35994033	TMEM147
233792_at	0.49949147	
225729_at	0.20738006	C6orf89
223327_x_at	-0.39533428	GOLGA2P10
215291_at	0.37655019	MKL1
218196_at	0.46302597	OSTM1
218998_at	-0.33423811	FAM206A
218523_at	-0.31289162	LHPP
1558474_at	0.62977104	
213317_at	-1.06164911	CLIC5
209576_at	0.4806333	GNAI1
1557804_at	-0.55663442	
217935_s_at	-0.28113932	UQCC1
201296_s_at	0.50729636	WSB1
220122_at	0.73723584	MCTP1
206113_s_at	-0.39977207	RAB5A
90610_at	0.26314983	LRCH4
202438_x_at	0.41199617	IDS
208765_s_at	-0.32325836	HNRNPR
212175_s_at	-0.44772862	AK2
222214_at	-0.4047434	
201508_at	0.46762117	IGFBP4
212602_at	-0.33157108	WDFY3
239619_at	0.73082615	
207882_at	-0.21093197	
209417_s_at	0.41241968	IFI35
224724_at	0.44624888	SULF2
202278_s_at	-0.36616115	SPTLC1
212163_at	0.4933954	KIDINS220
241215_at	0.28621287	
228452_at	0.46792963	GID4
1563283_at	-0.23348435	LOC101927247
212954_at	0.28448978	DYRK4
228567_at	-0.39501892	GAN
1554317_s_at	-0.3571065	TRMT61A
1564139_at	0.70698308	A2M-AS1
208096_s_at	-0.80034204	COL21A1
221909_at	-0.48054634	RNFT2
222447_at	-0.476787	METTL9
1598_g_at	0.68992071	GAS6
206764_x_at	-0.20748231	MPPE1
209209_s_at	0.60663741	FERMT2
217912_at	-0.3300334	DUS1L
205186_at	-0.51547842	DNALI1
222321_at	-0.47561205	AGTR2
240134_at	0.34140301	
220092_s_at	0.70509291	ANTXR1
1558983_at	-0.58060085	LRRC41
1554036_at	-0.29135227	ZBTB24
212704_at	-0.47371656	ZCCHC11
212604_at	0.35363552	MRPS31
1552320_a_at	-0.48422137	CCDC65
211979_at	0.24114134	GPR107
1555823_at	-0.25679665	PACS2
240421_x_at	-0.31486874	SAV1
214638_s_at	-0.47017126	CCNT2
215508_at	-0.31338577	BUB1
203189_s_at	-0.6431138	MIR7113///MIR4691///NDUFS8
224960_at	-0.3883016	SCYL2
205308_at	0.48926912	ZC2HC1A
200861_at	-0.28134586	CNOT1
225585_at	0.38462913	RAP2A
232338_at	0.691088	ZNF431
218923_at	0.5575711	CTBS
211880_x_at	0.2880299	PCDHGA1
237186_at	0.35661934	KCNJ5
214003_x_at	0.21672987	SNORD54///RPS20
231789_at	-0.53521298	PCDHB15
244866_at	0.22398315	
215809_at	-0.29863963	CYP2D6
225657_at	-0.31711986	NCBP2-AS2
218958_at	0.2927885	C19orf60
207239_s_at	-0.48191474	CDK16
244044_at	-1.14107347	
200859_x_at	0.44623996	FLNA
209777_s_at	-0.27520709	SLC19A1
1566776_at	-0.28868818	DNAH1
219427_at	0.55497576	FAT4
209329_x_at	-0.24247124	HIGD2A
227241_at	-0.44210264	MUC15
203201_at	-0.66326629	PMM2
219685_at	-0.59254642	TMEM35A
212763_at	0.35469991	CAMSAP2
1560091_a_at	-0.36863975	PHF21B
1552977_a_at	-0.35384669	CNPY3
1556308_at	-0.29139033	PRRT3
211090_s_at	-0.44119924	PRPF4B
1553642_at	-0.27824992	C9orf163
211031_s_at	0.36246183	CLIP2
216093_at	0.40681339	
217937_s_at	0.411451	HDAC7
228139_at	-0.33087509	RIPK3
202288_at	-0.36909157	MTOR
211136_s_at	-0.33080465	CLPTM1
210141_s_at	1.28047675	INHA
237134_at	-0.49825715	
204232_at	0.72787641	FCER1G
223210_at	0.46063979	CHURC1
209700_x_at	0.37384198	PDE4DIP
1558236_at	0.47995181	DR1
1563076_x_at	-0.31640958	
210286_s_at	-0.6011463	SLC4A7
239491_at	-0.3505638	CERS5
203617_x_at	0.34033036	ELK1
235240_at	0.46747488	ATXN3
201188_s_at	-0.49242531	ITPR3
201267_s_at	-0.53841441	PSMC3
233599_at	-0.64111954	LOC728061
1557698_at	0.39813836	
223585_x_at	-0.35017489	KBTBD2
1564178_at	-0.34309392	LINC00841
239639_at	-0.34181315	
213715_s_at	0.49405304	KANK3
200014_s_at	-0.21263985	HNRNPC
1552264_a_at	-0.38405249	MAPK1
204063_s_at	0.42217853	ULK2
225167_at	0.38856647	FRMD4A
243924_at	-0.4704668	LINC00665
224813_at	0.43549904	WASL
228731_at	-0.82770484	GUCY1A2
239890_s_at	0.51088962	SERP2
201246_s_at	-0.37056156	LOC101927673///OTUB1
209734_at	0.40250059	NCKAP1L
205009_at	-0.4173389	TFF1
1559403_at	-0.32561075	HMGN3-AS1
212433_x_at	-0.22109157	SNORA64///RPS2
227776_at	-0.40781538	ACER3
220789_s_at	-0.31693201	SNORA5B///TBRG4
225193_at	-0.35697669	CCAR2
222548_s_at	0.28673708	MAP4K4
1562610_at	0.350129	
222342_at	-0.25123206	
214288_s_at	-0.28160403	PSMB1
1554234_at	-0.28933981	KATNAL2
212982_at	0.45321323	ZDHHC17
232549_at	0.39576673	RBM11
240806_at	0.43908662	RPL15
201412_at	0.46817016	LRP10
243929_at	0.85175878	
212851_at	0.34719899	DCUN1D4
216799_at	0.3009638	
207414_s_at	0.65051347	LOC100507472///PCSK6
226477_at	-0.23530056	DCAF1
1557185_at	0.25875012	TPCN1
233021_at	0.38194738	RBM26-AS1
218403_at	-0.42656742	TRIAP1
229036_at	0.35886733	TNRC6B
236840_at	-0.28728864	C12orf56
229618_at	0.61161845	SNX16
225616_at	-0.37713858	SPRYD4
1556607_at	0.46814717	EHD4
220649_at	0.26801686	AGBL3
205727_at	-0.37872766	TEP1
226596_x_at	0.34442063	UMAD1
212674_s_at	-0.27326034	DHX30
212538_at	0.39183399	DOCK9
207053_at	-0.31297084	SLC8A1
230847_at	-0.27647605	WRNIP1
240277_at	-0.49756439	
205539_at	0.73290844	AVIL
210438_x_at	0.33338504	TROVE2
209676_at	1.15954953	TFPI
224587_at	-0.42180422	SUB1
214526_x_at	-0.28226041	PMS2P1
203205_at	-0.28268986	KDM4A
242473_at	-0.42160011	TRAF4
200063_s_at	0.27343579	NPM1
62987_r_at	-0.23790853	CACNG4
238125_at	-0.73008194	ADAMTS16
220408_x_at	-0.3274985	SUPT20H
225369_at	0.33601929	ESAM
234015_at	-0.39706409	
201693_s_at	1.32895571	EGR1
210339_s_at	-0.28091971	KLK2
225063_at	-0.26265823	UBL7
241700_at	0.46620743	ZFHX4
244625_at	-0.42409702	
225297_at	-0.44783195	HAUS1
225111_s_at	0.3030053	NAPB
210248_at	-0.45476741	WNT7A
215931_s_at	-0.32029299	ARFGEF2
217140_s_at	-0.63322058	VDAC1
213039_at	-0.24512875	ARHGEF18
1554648_a_at	-0.50659861	DUOXA1
229074_at	0.36589242	EHD4
1553246_a_at	-0.28598449	POMK
220311_at	-0.38498233	N6AMT1
234726_s_at	-0.43344794	TMEM168
239722_at	-0.38881503	C5orf49
211135_x_at	0.39001609	LILRB3
216591_s_at	-0.50318633	SDHC
241190_at	0.26467221	
202857_at	-0.48177008	CNPY2
222364_at	0.57340306	SLC44A1
243485_at	-0.27798613	
239348_at	-0.56874691	
225327_at	-0.48509183	FAM214A
205362_s_at	0.29908421	PFDN4
200593_s_at	-0.25252406	HNRNPU
1569564_at	0.36958727	
243222_at	0.32283144	ALPK1
1556421_at	-0.53585228	C8orf34-AS1
228461_at	0.38178428	SH3RF3
220713_at	-0.28539055	DENND6B
1555262_a_at	-0.35993188	MAGI1
225362_at	-0.55911594	FAM122B
243597_at	-0.31657523	FANCB
223398_at	0.34460583	CARD19
214683_s_at	0.78187824	CLK1
210338_s_at	-0.59883582	SNORD14D///SNORD14C///HSPA8
222769_at	-0.27555695	MTHFSD
230570_at	-0.33157119	EIF3H
204027_s_at	-0.32921299	METTL1
239695_at	0.37491909	JAK1
232497_at	-0.34292286	ZNF3
237105_at	-0.27064829	LOC101927027
227540_at	-0.23064329	EEFSEC
1555734_x_at	-0.29648967	AP1S3
243327_at	-0.25323595	
237264_at	0.34586149	
209070_s_at	0.50713561	RGS5
1554168_a_at	0.43056789	SH3KBP1
218803_at	-0.41393767	CHFR
230522_s_at	-0.40321243	ARHGEF39
242744_s_at	0.32214022	CASR
225230_at	0.39083235	DRAM2
222506_at	-0.40780937	LMBR1
200995_at	0.32568929	IPO7
237202_at	0.3342143	PGPEP1
218592_s_at	-0.31880692	CECR5
213286_at	0.47483851	ZFR
233689_at	0.43111893	
242600_at	0.37432945	FRMD3
214280_x_at	-0.33177128	HNRNPA1
233924_s_at	0.35707803	EXOC6
232064_at	0.32388498	FER
231879_at	1.00258962	COL12A1
203235_at	-0.29465425	THOP1
223114_at	-0.31085574	COQ5
210357_s_at	-0.26383443	SMOX
205032_at	-0.41988195	ITGA2
240368_at	-0.36143554	
220915_s_at	-0.39720207	
219528_s_at	0.45655478	BCL11B
204343_at	0.29952596	ABCA3
241316_at	0.51189738	
206729_at	0.36078399	TNFRSF8
223533_at	0.38007509	LOC101927933///LRRC8C
222788_s_at	0.42627146	RSBN1
AFFX-r2-Ec-bioB-3_at	0.29109673	
202804_at	-0.41819637	ABCC1
206488_s_at	0.93571688	CD36
224891_at	0.35828022	FOXO3
211994_at	0.29492244	WNK1
240577_at	0.31202782	TRAF3IP2-AS1
1555974_a_at	-0.36290129	
244548_at	-0.74138723	
206790_s_at	-0.30802211	NDUFB1
226501_at	-0.26861557	XPNPEP3
239020_at	-0.28796529	FUT10
243440_at	0.29721418	SIX3-AS1
219051_x_at	-0.28463364	METRN
225737_s_at	-0.35557825	FBXO22
218638_s_at	-0.53548603	LOC100130872///SPON2
207790_at	-0.40259404	LRRC1
207519_at	-0.27914439	SLC6A4
222157_s_at	-0.27651049	WDR48
226956_at	0.35451272	MTMR3
208809_s_at	0.29427183	C6orf62
214438_at	0.4886574	HLX
211237_s_at	0.32273162	FGFR4
214672_at	-0.3429676	TTLL5
239720_at	-0.24294104	ZGLP1
220946_s_at	0.499707	SETD2
226758_at	-0.27824998	LUC7L2
209123_at	-0.41196883	QDPR
219110_at	-0.36073922	GAR1
225166_at	0.61662018	ARHGAP18
214507_s_at	-0.38803049	EXOSC2
36475_at	-0.30414057	GCAT
219904_at	-0.38226627	ZSCAN5A
214006_s_at	-0.46529367	GGCX
205279_s_at	-0.44670768	GLRB
201294_s_at	0.53638182	WSB1
223572_at	-0.30833143	HHATL
233130_at	0.47212223	
219908_at	0.91934035	DKK2
224915_x_at	0.41072802	ZFAS1
241219_at	0.28560795	
213138_at	-0.45305283	ARID5A
203292_s_at	0.27571831	VPS11
219054_at	0.76963416	NPR3
230219_at	-0.40092673	NDE1
217200_x_at	-0.29934594	CYB561
237600_at	0.41567662	
1561534_at	0.43422762	
209998_at	-0.29184797	PIGO
243162_at	0.37548341	
217936_at	0.42781488	ARHGAP5
206920_s_at	-0.33172558	GLE1
1554447_at	0.5425919	JPX
222844_s_at	-0.59089237	SRR
243599_at	0.55048778	
205687_at	-0.49663492	UBFD1
209332_s_at	0.30698701	MAX
202294_at	0.36954456	STAG1
208607_s_at	0.44846297	SAA2-SAA4///SAA2///SAA1
202742_s_at	0.37971397	PRKACB
233115_at	-0.33990225	
202207_at	0.75414964	ARL4C
209233_at	-0.37716371	EMG1
236304_at	0.49174915	LINC00702
242320_at	0.64065576	
218192_at	-0.2805259	IP6K2
219709_x_at	-0.43023847	FAM173A
213409_s_at	-0.46421638	RHEB
211214_s_at	0.53020207	DAPK1
214975_s_at	-0.55043093	MTMR1
1570444_at	0.42817596	LOC643201
238604_at	0.55036167	
209667_at	0.35296815	CES2
219881_s_at	-0.39947598	CTC-338M12.4
200719_at	0.29559172	SKP1
238902_at	0.66843446	
242789_at	0.34799277	PDE1A
213262_at	-0.43917607	SACS
226030_at	0.57232681	ACADSB
221675_s_at	0.32830049	CHPT1
201287_s_at	-0.53302665	SDC1
212216_at	-0.54656841	PREPL
229715_at	0.47063738	NCR3LG1
229701_at	-0.39097207	DNAJC9
219862_s_at	-0.30687217	NARF
206601_s_at	0.53077244	LOC401021///HOXD4///HOXD3
226019_at	0.41959753	OMA1
1559633_a_at	0.41877191	CHRM3
225088_at	-0.35692907	FOPNL
213775_x_at	0.42553279	ZNF638-IT1///ZNF638
212174_at	0.29121154	AK2
1555274_a_at	-0.54490227	EPT1
203842_s_at	0.28207581	MAPRE3
226804_at	0.81936138	FAM20A
1553185_at	0.45545958	RASEF
213305_s_at	-0.35463526	PPP2R5C
217625_x_at	-0.36633158	LINC00963
236149_at	-0.37309322	
213497_at	-0.37127462	ABTB2
212942_s_at	1.47568956	CEMIP
204079_at	-0.4275473	TPST2
1563474_at	0.4124845	ETFBKMT
232635_at	-0.34778698	CEP128
242110_at	0.46904998	
225880_at	0.40882162	TOR1AIP2
242273_at	0.46390296	LLPH
232977_x_at	-0.3471351	MYH14
233667_at	0.45522656	
1560372_at	0.36748983	LOC101929713
208954_s_at	-0.24714333	LARP4B
244513_at	-0.31270922	TMEM161B
228976_at	-0.25109517	ICOSLG
242836_at	1.63868696	
211015_s_at	-0.5364914	HSPA4
227411_at	0.3052276	WTIP
206325_at	-0.56091727	SERPINA6
1553960_at	0.38928238	SNX21
217266_at	-0.29216405	RPL15
204906_at	0.38382371	RPS6KA2
213237_at	-0.4098128	KNOP1
242750_at	0.39498496	MMAA
239177_at	-0.40875881	IRGQ
203411_s_at	0.4171326	LMNA
240468_at	0.4225567	
212183_at	0.54126928	NUDT4P1///NUDT4
210386_s_at	-0.34519202	MTX1
237114_at	0.36579619	
221638_s_at	-0.59921758	STX16
215408_at	-0.46689465	
201864_at	0.29088406	GDI1
224013_s_at	-0.45451398	SOX7
210375_at	0.61781958	PTGER3
227035_x_at	0.25053427	RP9P
222977_at	-0.50607015	SURF4
227033_at	-0.42988517	PDIA3
226390_at	-0.92338052	STARD4
1553186_x_at	0.45362325	RASEF
1566844_at	-0.3187964	PER4
44146_at	-0.2149192	GMEB2
237282_s_at	-0.47690384	AKAP14
242858_at	-0.33503078	
229513_at	-0.42948289	STRBP
230389_at	0.50577243	FNBP1
1558889_at	-0.31334147	
203050_at	-0.29325171	TP53BP1
240461_at	0.34930531	
205031_at	-0.49483867	EFNB3
224476_s_at	0.25739832	MESP1
204967_at	0.30867549	SHROOM2
229128_s_at	-0.54997721	ANP32E
208319_s_at	-0.55852942	RBM3
216105_x_at	-0.24662827	PTPA
218284_at	0.29158338	SMAD3
1568777_at	0.53174649	EML5
223072_s_at	-0.27794606	INO80B-WBP1///INO80B///WBP1
227750_at	0.28007779	KALRN
1555991_s_at	-0.28808167	C22orf42
1557676_at	0.3733582	
220587_s_at	-0.27454036	MLST8
227658_s_at	0.3412666	PLEKHA3
221696_s_at	-0.40119568	STYK1
213320_at	-0.41942836	PRMT3
202204_s_at	-0.37058356	AMFR
218459_at	-0.38145702	TOR3A
223513_at	-0.45079856	CENPJ
210377_at	0.87918272	ACSM3
211698_at	0.37970398	EID1
213552_at	0.42251247	GLCE
209619_at	0.82028853	CD74
224652_at	0.26048154	CCNY
235194_at	-0.27259427	TPCN2
239701_at	0.45813472	
1556883_a_at	0.28335856	LOC101929800///LOC101927424///LOC440896///PGM5
213093_at	0.89659905	PRKCA
227624_at	-0.35281747	TET2
239602_at	-0.24564373	BRWD1-IT2
219587_at	-0.36166738	TTC12
200910_at	-0.40479789	LOC101927137///CCT3
206746_at	0.45925444	BFSP1
241853_at	0.6631316	
217498_at	-0.33458255	GDF11
238339_x_at	-0.33473447	LRIG1
203457_at	0.28508958	STX7
210963_s_at	-0.37497745	GYG2
206644_at	0.44815866	NR0B1
233626_at	-0.38051423	
230430_at	-0.31939243	ENTPD2
226761_at	0.24151853	IKZF4
200605_s_at	0.43335417	PRKAR1A
1558048_x_at	1.44331708	
1553998_at	0.52063063	DMRTC1B///DMRTC1
1565867_a_at	0.46455307	LOC441155///ZC3H11A
208670_s_at	0.34172527	EID1
242904_x_at	0.6772554	
214811_at	0.42442333	RIMBP2
200654_at	-0.48826742	P4HB
1555902_at	0.32268741	ARMCX5
227873_at	0.24737216	TXNDC15
209580_s_at	-0.31900525	MBD4
225936_at	-0.35247325	EID2
237029_at	-0.40441839	HGD
209611_s_at	-0.36816216	SLC1A4
214542_x_at	-0.34487228	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI
238190_at	-0.29884776	TUFM
1561754_at	0.50690076	
203800_s_at	-0.38064511	MRPS14
208818_s_at	0.33403504	COMT
229578_at	0.54224345	JPH2
224846_at	-0.33208356	SHKBP1
205335_s_at	-0.62377806	SRP19
214567_s_at	-0.78633448	XCL2///XCL1
208136_s_at	-0.29094478	ZNF205-AS1
216775_at	-0.89042971	USP53
228066_at	-0.37954509	C17orf96
217520_x_at	-0.30427334	LOC101929232///PDCD6IPP2
208424_s_at	-0.49143986	CIAPIN1
219789_at	1.03127524	NPR3
215077_at	-0.85774766	COL3A1
239562_at	-0.32918715	MTHFD2L
232138_at	0.48185311	MBNL2
239851_at	-0.43318949	
223057_s_at	-0.31320482	XPO5
227434_at	-0.57828654	WBSCR17
1558392_at	0.47107451	SYNE2
220147_s_at	-0.50424766	FAM60A
221869_at	-0.31846025	ZNF512B
233675_s_at	-0.42328015	TPTE2P6
211386_at	0.57365194	MGC12488
203164_at	-0.52428371	SLC33A1
242232_at	0.25773817	
204744_s_at	-0.52538598	IARS
239350_at	-0.44112044	MARVELD3
207163_s_at	-0.29367783	AKT1
224928_at	0.34005847	SETD7
1565694_at	-0.28438117	DTYMK
212478_at	-0.27912432	RMND5A
233674_at	0.55942798	
40225_at	-0.26887903	GAK
215626_at	0.53347815	
223113_at	0.45893241	TMEM138
213572_s_at	0.48579941	SERPINB1
1568955_at	0.2741953	SRGAP2C///SRGAP2B///SRGAP2
219083_at	-0.34845225	SHQ1
204004_at	0.38961628	PAWR
1555210_at	0.3798442	DTWD1
215519_x_at	-0.34041526	SGSM3
1569830_at	0.26685026	PTPRC
206315_at	-0.32333687	CRLF1
226276_at	-0.71498361	TMEM167A
206402_s_at	0.34968234	NPFF
226347_at	0.2709092	
227574_at	0.31586994	OBSL1
218029_at	0.26977613	FAM65A
208443_x_at	0.51649393	SHOX2
244568_at	0.47069254	
204062_s_at	0.4823839	ULK2
225454_at	-0.34520403	CCDC124
223518_at	-0.43106522	DFFA
233731_at	-0.33317764	
212855_at	0.41591609	DCUN1D4
1553587_a_at	0.41835327	POLE4
218331_s_at	-0.33796317	FAM208B
201274_at	-0.47491377	PSMA5
202739_s_at	-0.32779353	PHKB
223335_at	-0.38824067	TMEM69
206076_at	-0.43083423	LRRC23
204518_s_at	-0.60959926	PPIC
243602_at	0.36047023	MGC40069
205196_s_at	-0.48298516	AP1S1
224882_at	0.45616082	ACSS1
244026_at	1.56176353	
236359_at	0.42463775	SCN4B
